"unit","qudtUnit","qudtLabel","qudtUri","qudtDimensionVector","qudtConversionMultiplier","nonLatexDescription","latexDescription","TotalUses"
"year(yyyy)","YR","Year","http://qudt.org/vocab/unit/YR","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T1D0",31557600,"A year is any of the various periods equated with one passage of Earth about the Sun, and hence of roughly 365 days. The familiar calendar has a mixture of 365- and 366-day years, reflecting the fact that the time for one complete passage takes about 365¼ days; the precise value for this figure depends on the manner of defining the year.",NA,0
"year(yrs)","YR","Year","http://qudt.org/vocab/unit/YR","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T1D0",31557600,"A year is any of the various periods equated with one passage of Earth about the Sun, and hence of roughly 365 days. The familiar calendar has a mixture of 365- and 366-day years, reflecting the fact that the time for one complete passage takes about 365¼ days; the precise value for this figure depends on the manner of defining the year.",NA,0
"year(june-may)","YR","Year","http://qudt.org/vocab/unit/YR","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T1D0",31557600,"A year is any of the various periods equated with one passage of Earth about the Sun, and hence of roughly 365 days. The familiar calendar has a mixture of 365- and 366-day years, reflecting the fact that the time for one complete passage takes about 365¼ days; the precise value for this figure depends on the manner of defining the year.",NA,0
"year","YR","Year","http://qudt.org/vocab/unit/YR","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T1D0",31557600,"A year is any of the various periods equated with one passage of Earth about the Sun, and hence of roughly 365 days. The familiar calendar has a mixture of 365- and 366-day years, reflecting the fact that the time for one complete passage takes about 365¼ days; the precise value for this figure depends on the manner of defining the year.",NA,0
"YD3-PER-SEC","YD3-PER-SEC","Cubic Yard Per Second","http://qudt.org/vocab/unit/YD3-PER-SEC","http://qudt.org/vocab/dimensionvector/A0E0L3I0M0H0T-1D0",0.764554857984,NA,NA,0
"YD3-PER-MIN","YD3-PER-MIN","Cubic Yard per Minute","http://qudt.org/vocab/unit/YD3-PER-MIN","http://qudt.org/vocab/dimensionvector/A0E0L3I0M0H0T-1D0",0.0127425809664,NA,"""Cubic Yard per Minute"" is an Imperial unit for  'Volume Per Unit Time' expressed as \(yd^{3}/min\).",0
"YD3-PER-HR","YD3-PER-HR","Cubic Yard Per Hour","http://qudt.org/vocab/unit/YD3-PER-HR","http://qudt.org/vocab/dimensionvector/A0E0L3I0M0H0T-1D0",0.00021237634944,NA,NA,0
"YD3-PER-DEG_F","YD3-PER-DEG_F","Cubic Yard Per Degree Fahrenheit","http://qudt.org/vocab/unit/YD3-PER-DEG_F","http://qudt.org/vocab/dimensionvector/A0E0L3I0M0H-1T0D0",1.37619888199109,NA,NA,0
"YD3-PER-DAY","YD3-PER-DAY","Cubic Yard Per Day","http://qudt.org/vocab/unit/YD3-PER-DAY","http://qudt.org/vocab/dimensionvector/A0E0L3I0M0H0T-1D0",8.84901456e-06,NA,NA,0
"YD3","YD3","Cubic Yard","http://qudt.org/vocab/unit/YD3","http://qudt.org/vocab/dimensionvector/A0E0L3I0M0H0T0D0",0.764554857984,"A cubic yard is an Imperial / U.S. customary unit of volume, used in the United States, Canada, and the UK. It is defined as the volume of a cube with sides of 1 yard in length.",NA,0
"YD2","YD2","Square Yard","http://qudt.org/vocab/unit/YD2","http://qudt.org/vocab/dimensionvector/A0E0L2I0M0H0T0D0",0.83612736,"The square yard is an imperial/US customary unit of area, formerly used in most of the English-speaking world but now generally replaced by the square metre outside of the U.S. , Canada and the U.K. It is defined as the area of a square with sides of one yard in length. (Gaj in Hindi).",NA,0
"YD-PER-DEG_F","YD-PER-DEG_F","Yard Per Degree Fahrenheit","http://qudt.org/vocab/unit/YD-PER-DEG_F","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H-1T0D0",1.6459200164592,NA,NA,0
"YD","YD","Yard","http://qudt.org/vocab/unit/YD","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T0D0",0.9144,"A yard is a unit of length in several different systems including United States customary units, Imperial units and the former English units. It is equal to 3 feet or 36 inches. Under an agreement in 1959 between Australia, Canada, New Zealand, South Africa, the United Kingdom and the United States, the yard (known as the ""international yard"" in the United States) was legally defined to be exactly 0.9144 metres.",NA,0
"wpermetersquared","W-PER-M2","Watt per Square Meter","http://qudt.org/vocab/unit/W-PER-M2","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T-3D0",1,NA,"""Watt per Square Meter} is a unit of irradiance defined as the power received per area. This is a unit in the category of Energy flux. It is also known as watts per square meter, watt per square metre, watts per square metre, watt/square meter, watt/square metre. This unit is commonly used in the SI unit system. Watt Per Square Meter (\(W/m^2\)) has a dimension of \(MT^{-3""\) where M is mass, and T is time. This unit is the standard SI unit in this category.",0
"wk-1","PER-WK","Reciprocal Week","http://qudt.org/vocab/unit/PER-WK","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T-1D0",1.653439e-06,NA,NA,0
"WK","WK","Week","http://qudt.org/vocab/unit/WK","http://qudt.org/vocab/dimensionvector/A0E0L0I0M0H0T1D0",604800,"Mean solar week",NA,0
"Wb.mm-1","WB-PER-MilliM","Weber Per Millimeter","http://qudt.org/vocab/unit/WB-PER-MilliM","http://qudt.org/vocab/dimensionvector/A0E-1L1I0M1H0T-2D0",1000,NA,NA,0
"Wb.m-1","WB-PER-M","Weber Per Meter","http://qudt.org/vocab/unit/WB-PER-M","http://qudt.org/vocab/dimensionvector/A0E-1L1I0M1H0T-2D0",1,NA,NA,0
"Wb.m","WB-M","Weber Meter","http://qudt.org/vocab/unit/WB-M","http://qudt.org/vocab/dimensionvector/A0E-1L3I0M1H0T-2D0",1,NA,NA,0
"WB-PER-MilliM","WB-PER-MilliM","Weber Per Millimeter","http://qudt.org/vocab/unit/WB-PER-MilliM","http://qudt.org/vocab/dimensionvector/A0E-1L1I0M1H0T-2D0",1000,NA,NA,0
"WB-PER-M","WB-PER-M","Weber Per Meter","http://qudt.org/vocab/unit/WB-PER-M","http://qudt.org/vocab/dimensionvector/A0E-1L1I0M1H0T-2D0",1,NA,NA,0
"WB-M","WB-M","Weber Meter","http://qudt.org/vocab/unit/WB-M","http://qudt.org/vocab/dimensionvector/A0E-1L3I0M1H0T-2D0",1,NA,NA,0
"Wb-1","PER-WB","Reciprocal Weber","http://qudt.org/vocab/unit/PER-WB","http://qudt.org/vocab/dimensionvector/A0E1L-2I0M-1H0T2D0",NA,NA,NA,0
"WB","WB","Weber","http://qudt.org/vocab/unit/WB","http://qudt.org/vocab/dimensionvector/A0E-1L2I0M1H0T-2D0",1,NA,"The SI unit of magnetic flux. ""Flux"" is the rate (per unit of time) at which something crosses a surface perpendicular to the flow. The weber is a large unit, equal to \(10^{8}\) maxwells, and practical fluxes are usually fractions of one weber. The weber is the magnetic flux which, linking a circuit of one turn, would produce in it an electromotive force of 1 volt if it were reduced to zero at a uniform rate in 1 second. In SI base units, the dimensions of the weber are \((kg \cdot m^2)/(s^2 \cdot A)\). The weber is commonly expressed in terms of other derived units as the Tesla-square meter (\(T \cdot m^2\)), volt-seconds (\(V \cdot s\)), or joules per ampere (\(J/A\)).",0
"wattspersquaremetre","W-PER-M2","Watt per Square Meter","http://qudt.org/vocab/unit/W-PER-M2","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T-3D0",1,NA,"""Watt per Square Meter} is a unit of irradiance defined as the power received per area. This is a unit in the category of Energy flux. It is also known as watts per square meter, watt per square metre, watts per square metre, watt/square meter, watt/square metre. This unit is commonly used in the SI unit system. Watt Per Square Meter (\(W/m^2\)) has a dimension of \(MT^{-3""\) where M is mass, and T is time. This unit is the standard SI unit in this category.",0
"wattspersquaremeter","W-PER-M2","Watt per Square Meter","http://qudt.org/vocab/unit/W-PER-M2","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T-3D0",1,NA,"""Watt per Square Meter} is a unit of irradiance defined as the power received per area. This is a unit in the category of Energy flux. It is also known as watts per square meter, watt per square metre, watts per square metre, watt/square meter, watt/square metre. This unit is commonly used in the SI unit system. Watt Per Square Meter (\(W/m^2\)) has a dimension of \(MT^{-3""\) where M is mass, and T is time. This unit is the standard SI unit in this category.",0
"wattspermeterquared","W-PER-M2","Watt per Square Meter","http://qudt.org/vocab/unit/W-PER-M2","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T-3D0",1,NA,"""Watt per Square Meter} is a unit of irradiance defined as the power received per area. This is a unit in the category of Energy flux. It is also known as watts per square meter, watt per square metre, watts per square metre, watt/square meter, watt/square metre. This unit is commonly used in the SI unit system. Watt Per Square Meter (\(W/m^2\)) has a dimension of \(MT^{-3""\) where M is mass, and T is time. This unit is the standard SI unit in this category.",0
"wattpermetersquared","W-PER-M2","Watt per Square Meter","http://qudt.org/vocab/unit/W-PER-M2","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T-3D0",1,NA,"""Watt per Square Meter} is a unit of irradiance defined as the power received per area. This is a unit in the category of Energy flux. It is also known as watts per square meter, watt per square metre, watts per square metre, watt/square meter, watt/square metre. This unit is commonly used in the SI unit system. Watt Per Square Meter (\(W/m^2\)) has a dimension of \(MT^{-3""\) where M is mass, and T is time. This unit is the standard SI unit in this category.",0
"wattpermeterquared","W-PER-M2","Watt per Square Meter","http://qudt.org/vocab/unit/W-PER-M2","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T-3D0",1,NA,"""Watt per Square Meter} is a unit of irradiance defined as the power received per area. This is a unit in the category of Energy flux. It is also known as watts per square meter, watt per square metre, watts per square metre, watt/square meter, watt/square metre. This unit is commonly used in the SI unit system. Watt Per Square Meter (\(W/m^2\)) has a dimension of \(MT^{-3""\) where M is mass, and T is time. This unit is the standard SI unit in this category.",0
"W/m2","W-PER-M2","Watt per Square Meter","http://qudt.org/vocab/unit/W-PER-M2","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T-3D0",1,NA,"""Watt per Square Meter} is a unit of irradiance defined as the power received per area. This is a unit in the category of Energy flux. It is also known as watts per square meter, watt per square metre, watts per square metre, watt/square meter, watt/square metre. This unit is commonly used in the SI unit system. Watt Per Square Meter (\(W/m^2\)) has a dimension of \(MT^{-3""\) where M is mass, and T is time. This unit is the standard SI unit in this category.",0
"W/kg","W-PER-KiloGM","Watt Per Kilogram","http://qudt.org/vocab/unit/W-PER-KiloGM","http://qudt.org/vocab/dimensionvector/A0E0L2I0M0H0T-3D0",1,NA,NA,0
"W.sr-1","W-PER-SR","Watt per Steradian","http://qudt.org/vocab/unit/W-PER-SR","http://qudt.org/vocab/dimensionvector/A0E0L2I0M1H0T-3D0",1,NA,"\(\textbf{Watt Per Steradian (W/sr)}\) is the unit in the category of Radiant intensity. It is also known as watts per steradian. This unit is commonly used in the SI unit system. Watt Per Steradian (W/sr) has a dimension of \(M\cdot L^{-2}\cdot T^{-3}\) where \(M\) is mass, \(L\) is length, and \(T\) is time. This unit is the standard SI unit in this category.",0
"W.s.m-2","W-SEC-PER-M2","Watt seconds per square metre","http://qudt.org/vocab/unit/W-SEC-PER-M2","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T-2D0",1,NA,NA,0
"W.s","W-SEC","Watt Second","http://qudt.org/vocab/unit/W-SEC","http://qudt.org/vocab/dimensionvector/A0E0L2I0M1H0T-2D0",1,NA,NA,0
"W.m2.sr-1","W-M2-PER-SR","W-M2-PER-SR","http://qudt.org/vocab/unit/W-M2-PER-SR","http://qudt.org/vocab/dimensionvector/A0E0L4I0M1H0T-3D0",NA,NA,NA,0
"W.m2","W-M2","W-M2","http://qudt.org/vocab/unit/W-M2","http://qudt.org/vocab/dimensionvector/A0E0L4I0M1H0T-3D0",1,NA,NA,0
"W.m-3","W-PER-M3","Watt Per Cubic Meter","http://qudt.org/vocab/unit/W-PER-M3","http://qudt.org/vocab/dimensionvector/A0E0L-1I0M1H0T-3D0",1,NA,NA,0
"W.m-2.sr-1","W-PER-M2-SR","Watt per Square Meter Steradian","http://qudt.org/vocab/unit/W-PER-M2-SR","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T-3D0",1,NA,"\(\textbf{Watt per steradian per square metre}\) is the SI unit of radiance (\(W·sr^{-1}·m^{-2}\)), while that of spectral radiance in frequency is the watt per steradian per square metre per hertz (\(W·sr^{-1}·m^{-2}·Hz^{-1}\)) and that of spectral radiance in wavelength is the watt per steradian per square metre, per metre (\(W·sr^{-1}·m^{-3}\)), commonly the watt per steradian per square metre per nanometre (\(W·sr^{-1}·m^{-2}·nm^{-1}\)). It has a dimension of \(ML^{-4}T^{-3}\) where \(M\) is mass, \(L\) is length, and \(T\) is time. This unit is the standard SI unit in this category.",0
"W.m-2.Pa-1","W-PER-M2-PA","Watt per Square Meter Pascal","http://qudt.org/vocab/unit/W-PER-M2-PA","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T-1D0",1,NA,"Watt Per Square Meter Per Pascal (\(W/m^2-pa\)) is a unit of Evaporative Heat Transfer.",0
"W.m-2.nm-1.sr-1","W-PER-M2-NanoM-SR","Watts per square metre per nanometre per steradian","http://qudt.org/vocab/unit/W-PER-M2-NanoM-SR","http://qudt.org/vocab/dimensionvector/A0E0L-1I0M1H0T-3D0",1e+09,NA,NA,0
"W.m-2.nm-1","W-PER-M2-NanoM","Watts per square metre per nanometre","http://qudt.org/vocab/unit/W-PER-M2-NanoM","http://qudt.org/vocab/dimensionvector/A0E0L-1I0M1H0T-3D0",1e+09,NA,NA,0
"W.m-2.m.sr-1","W-M-PER-M2-SR","Watts per square metre per inverse metre per steradian","http://qudt.org/vocab/unit/W-M-PER-M2-SR","http://qudt.org/vocab/dimensionvector/A0E0L1I0M1H0T-3D0",1,NA,NA,0
"W.m-2.m-1.sr-1","W-PER-M2-M-SR","Watts per square metre per metre per steradian","http://qudt.org/vocab/unit/W-PER-M2-M-SR","http://qudt.org/vocab/dimensionvector/A0E0L-1I0M1H0T-3D0",1,NA,NA,0
"W.m-2.m-1","W-PER-M2-M","Watts per square metre per metre","http://qudt.org/vocab/unit/W-PER-M2-M","http://qudt.org/vocab/dimensionvector/A0E0L-1I0M1H0T-3D0",1,NA,NA,0
"W.m-2.K-4","W-PER-M2-K4","Watt per Square Meter Quartic Kelvin","http://qudt.org/vocab/unit/W-PER-M2-K4","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H-4T-3D0",1,NA,"Watt Per Square Meter Per Quartic Kelvin (\(W/m2\cdotK4)\) is a unit in the category of light.",0
"W.m-2.K-1","W-PER-M2-K","Watt per Square Meter Kelvin","http://qudt.org/vocab/unit/W-PER-M2-K","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H-1T-3D0",1,NA,"\(\textbf{Watt Per Square Meter Per Kelvin }(\(W m^{-2} K^{-1}\)) is a unit in the category of Thermal heat transfer coefficient. It is also known as watt/square meter-kelvin. This unit is commonly used in the SI unit system. Watt Per Square Meter Per Kelvin (\(W m^{-2} K^{-1}\)) has a dimension of \(MT^{-1}Q^{-1}\) where \(M\) is mass, \(T\) is time, and \(Q\) is temperature. This unit is the standard SI unit in this category.",0
"W.m-2","W-PER-M2","Watt per Square Meter","http://qudt.org/vocab/unit/W-PER-M2","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T-3D0",1,NA,"""Watt per Square Meter} is a unit of irradiance defined as the power received per area. This is a unit in the category of Energy flux. It is also known as watts per square meter, watt per square metre, watts per square metre, watt/square meter, watt/square metre. This unit is commonly used in the SI unit system. Watt Per Square Meter (\(W/m^2\)) has a dimension of \(MT^{-3""\) where M is mass, and T is time. This unit is the standard SI unit in this category.",0
"W.m-1.K-1","W-PER-M-K","Watt per Meter Kelvin","http://qudt.org/vocab/unit/W-PER-M-K","http://qudt.org/vocab/dimensionvector/A0E0L1I0M1H-1T-3D0",1,NA,NA,0
"W.m-1","W-PER-M","Watts per metre","http://qudt.org/vocab/unit/W-PER-M","http://qudt.org/vocab/dimensionvector/A0E0L1I0M1H0T-3D0",1,NA,NA,0
"W.kg-1","W-PER-KiloGM","Watt Per Kilogram","http://qudt.org/vocab/unit/W-PER-KiloGM","http://qudt.org/vocab/dimensionvector/A0E0L2I0M0H0T-3D0",1,NA,NA,0
"W.K-1","W-PER-K","Watt per Kelvin","http://qudt.org/vocab/unit/W-PER-K","http://qudt.org/vocab/dimensionvector/A0E0L2I0M1H-1T-3D0",1,NA,"Watt Per Kelvin (\(W/K\)) is a unit in the category of Thermal conductivity.",0
"W.h.m-3","W-HR-PER-M3","Watthour per Cubic meter","http://qudt.org/vocab/unit/W-HR-PER-M3","http://qudt.org/vocab/dimensionvector/A0E0L-1I0M1H0T-2D0",3600,"The watt hour per cubic meter is a unit of energy density, equal to 3,600 joule per cubic meter.",NA,0
"W.h","W-HR","Watthour","http://qudt.org/vocab/unit/W-HR","http://qudt.org/vocab/dimensionvector/A0E0L2I0M1H0T-2D0",3600,"The watt hour is a unit of energy, equal to 3,600 joule.",NA,0
"W.cm-2","W-PER-CentiM2","Watt per Square Centimeter","http://qudt.org/vocab/unit/W-PER-CentiM2","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T-3D0",10000,"Watt Per Square Centimeter is a unit of heat flux or thermal flux, the rate of heat energy transfer through a given surface.",NA,0
"W.[sin_i]-1","W-PER-IN2","Watt per Square Inch","http://qudt.org/vocab/unit/W-PER-IN2","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T-3D0",1550.0031,"Watt Per Square Inch is a unit of heat flux or thermal flux, the rate of heat energy transfer through a given surface.",NA,0
"W.[sft_i]-1","W-PER-FT2","Watt per Square Foot","http://qudt.org/vocab/unit/W-PER-FT2","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T-3D0",10.7639104,"Watt Per Square Foot is a unit of heat flux or thermal flux, the rate of heat energy transfer through a given surface.",NA,0
"W-SEC-PER-M2","W-SEC-PER-M2","Watt seconds per square metre","http://qudt.org/vocab/unit/W-SEC-PER-M2","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T-2D0",1,NA,NA,0
"W-SEC","W-SEC","Watt Second","http://qudt.org/vocab/unit/W-SEC","http://qudt.org/vocab/dimensionvector/A0E0L2I0M1H0T-2D0",1,NA,NA,0
"W-PER-SR","W-PER-SR","Watt per Steradian","http://qudt.org/vocab/unit/W-PER-SR","http://qudt.org/vocab/dimensionvector/A0E0L2I0M1H0T-3D0",1,NA,"\(\textbf{Watt Per Steradian (W/sr)}\) is the unit in the category of Radiant intensity. It is also known as watts per steradian. This unit is commonly used in the SI unit system. Watt Per Steradian (W/sr) has a dimension of \(M\cdot L^{-2}\cdot T^{-3}\) where \(M\) is mass, \(L\) is length, and \(T\) is time. This unit is the standard SI unit in this category.",0
"W-PER-M3","W-PER-M3","Watt Per Cubic Meter","http://qudt.org/vocab/unit/W-PER-M3","http://qudt.org/vocab/dimensionvector/A0E0L-1I0M1H0T-3D0",1,NA,NA,0
"W-PER-M2-SR","W-PER-M2-SR","Watt per Square Meter Steradian","http://qudt.org/vocab/unit/W-PER-M2-SR","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T-3D0",1,NA,"\(\textbf{Watt per steradian per square metre}\) is the SI unit of radiance (\(W·sr^{-1}·m^{-2}\)), while that of spectral radiance in frequency is the watt per steradian per square metre per hertz (\(W·sr^{-1}·m^{-2}·Hz^{-1}\)) and that of spectral radiance in wavelength is the watt per steradian per square metre, per metre (\(W·sr^{-1}·m^{-3}\)), commonly the watt per steradian per square metre per nanometre (\(W·sr^{-1}·m^{-2}·nm^{-1}\)). It has a dimension of \(ML^{-4}T^{-3}\) where \(M\) is mass, \(L\) is length, and \(T\) is time. This unit is the standard SI unit in this category.",0
"W-PER-M2-PA","W-PER-M2-PA","Watt per Square Meter Pascal","http://qudt.org/vocab/unit/W-PER-M2-PA","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T-1D0",1,NA,"Watt Per Square Meter Per Pascal (\(W/m^2-pa\)) is a unit of Evaporative Heat Transfer.",0
"W-PER-M2-NanoM-SR","W-PER-M2-NanoM-SR","Watts per square metre per nanometre per steradian","http://qudt.org/vocab/unit/W-PER-M2-NanoM-SR","http://qudt.org/vocab/dimensionvector/A0E0L-1I0M1H0T-3D0",1e+09,NA,NA,0
"W-PER-M2-NanoM","W-PER-M2-NanoM","Watts per square metre per nanometre","http://qudt.org/vocab/unit/W-PER-M2-NanoM","http://qudt.org/vocab/dimensionvector/A0E0L-1I0M1H0T-3D0",1e+09,NA,NA,0
"W-PER-M2-M-SR","W-PER-M2-M-SR","Watts per square metre per metre per steradian","http://qudt.org/vocab/unit/W-PER-M2-M-SR","http://qudt.org/vocab/dimensionvector/A0E0L-1I0M1H0T-3D0",1,NA,NA,0
"W-PER-M2-M","W-PER-M2-M","Watts per square metre per metre","http://qudt.org/vocab/unit/W-PER-M2-M","http://qudt.org/vocab/dimensionvector/A0E0L-1I0M1H0T-3D0",1,NA,NA,0
"W-PER-M2-K4","W-PER-M2-K4","Watt per Square Meter Quartic Kelvin","http://qudt.org/vocab/unit/W-PER-M2-K4","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H-4T-3D0",1,NA,"Watt Per Square Meter Per Quartic Kelvin (\(W/m2\cdotK4)\) is a unit in the category of light.",0
"W-PER-M2-K","W-PER-M2-K","Watt per Square Meter Kelvin","http://qudt.org/vocab/unit/W-PER-M2-K","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H-1T-3D0",1,NA,"\(\textbf{Watt Per Square Meter Per Kelvin }(\(W m^{-2} K^{-1}\)) is a unit in the category of Thermal heat transfer coefficient. It is also known as watt/square meter-kelvin. This unit is commonly used in the SI unit system. Watt Per Square Meter Per Kelvin (\(W m^{-2} K^{-1}\)) has a dimension of \(MT^{-1}Q^{-1}\) where \(M\) is mass, \(T\) is time, and \(Q\) is temperature. This unit is the standard SI unit in this category.",0
"W-PER-M2","W-PER-M2","Watt per Square Meter","http://qudt.org/vocab/unit/W-PER-M2","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T-3D0",1,NA,"""Watt per Square Meter} is a unit of irradiance defined as the power received per area. This is a unit in the category of Energy flux. It is also known as watts per square meter, watt per square metre, watts per square metre, watt/square meter, watt/square metre. This unit is commonly used in the SI unit system. Watt Per Square Meter (\(W/m^2\)) has a dimension of \(MT^{-3""\) where M is mass, and T is time. This unit is the standard SI unit in this category.",0
"W-PER-M-K","W-PER-M-K","Watt per Meter Kelvin","http://qudt.org/vocab/unit/W-PER-M-K","http://qudt.org/vocab/dimensionvector/A0E0L1I0M1H-1T-3D0",1,NA,NA,0
"W-PER-M","W-PER-M","Watts per metre","http://qudt.org/vocab/unit/W-PER-M","http://qudt.org/vocab/dimensionvector/A0E0L1I0M1H0T-3D0",1,NA,NA,0
"W-PER-KiloGM","W-PER-KiloGM","Watt Per Kilogram","http://qudt.org/vocab/unit/W-PER-KiloGM","http://qudt.org/vocab/dimensionvector/A0E0L2I0M0H0T-3D0",1,NA,NA,0
"W-PER-K","W-PER-K","Watt per Kelvin","http://qudt.org/vocab/unit/W-PER-K","http://qudt.org/vocab/dimensionvector/A0E0L2I0M1H-1T-3D0",1,NA,"Watt Per Kelvin (\(W/K\)) is a unit in the category of Thermal conductivity.",0
"W-PER-IN2","W-PER-IN2","Watt per Square Inch","http://qudt.org/vocab/unit/W-PER-IN2","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T-3D0",1550.0031,"Watt Per Square Inch is a unit of heat flux or thermal flux, the rate of heat energy transfer through a given surface.",NA,0
"W-PER-FT2","W-PER-FT2","Watt per Square Foot","http://qudt.org/vocab/unit/W-PER-FT2","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T-3D0",10.7639104,"Watt Per Square Foot is a unit of heat flux or thermal flux, the rate of heat energy transfer through a given surface.",NA,0
"W-PER-CentiM2","W-PER-CentiM2","Watt per Square Centimeter","http://qudt.org/vocab/unit/W-PER-CentiM2","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T-3D0",10000,"Watt Per Square Centimeter is a unit of heat flux or thermal flux, the rate of heat energy transfer through a given surface.",NA,0
"W-M2-PER-SR","W-M2-PER-SR","W-M2-PER-SR","http://qudt.org/vocab/unit/W-M2-PER-SR","http://qudt.org/vocab/dimensionvector/A0E0L4I0M1H0T-3D0",NA,NA,NA,0
"W-M2","W-M2","W-M2","http://qudt.org/vocab/unit/W-M2","http://qudt.org/vocab/dimensionvector/A0E0L4I0M1H0T-3D0",1,NA,NA,0
"W-M-PER-M2-SR","W-M-PER-M2-SR","Watts per square metre per inverse metre per steradian","http://qudt.org/vocab/unit/W-M-PER-M2-SR","http://qudt.org/vocab/dimensionvector/A0E0L1I0M1H0T-3D0",1,NA,NA,0
"W-HR-PER-M3","W-HR-PER-M3","Watthour per Cubic meter","http://qudt.org/vocab/unit/W-HR-PER-M3","http://qudt.org/vocab/dimensionvector/A0E0L-1I0M1H0T-2D0",3600,"The watt hour per cubic meter is a unit of energy density, equal to 3,600 joule per cubic meter.",NA,0
"W-HR","W-HR","Watthour","http://qudt.org/vocab/unit/W-HR","http://qudt.org/vocab/dimensionvector/A0E0L2I0M1H0T-2D0",3600,"The watt hour is a unit of energy, equal to 3,600 joule.",NA,0
"W","W","Watt","http://qudt.org/vocab/unit/W","http://qudt.org/vocab/dimensionvector/A0E0L2I0M1H0T-3D0",1,"The SI unit of power. Power is the rate at which work is done, or (equivalently) the rate at which energy is expended. One watt is equal to a power rate of one joule of work per second of time. This unit is used both in mechanics and in electricity, so it links the mechanical and electrical units to one another. In mechanical terms, one watt equals about 0.001 341 02 horsepower (hp) or 0.737 562 foot-pound per second (lbf/s). In electrical terms, one watt is the power produced by a current of one ampere flowing through an electric potential of one volt. The name of the unit honors James Watt (1736-1819), the British engineer whose improvements to the steam engine are often credited with igniting the Industrial Revolution.",NA,0
"volt","V","Volt","http://qudt.org/vocab/unit/V","http://qudt.org/vocab/dimensionvector/A0E-1L2I0M1H0T-3D0",1,NA,"\(\textit{Volt} is the SI unit of electric potential. Separating electric charges creates potential energy, which can be measured in energy units such as joules. Electric potential is defined as the amount of potential energy present per unit of charge. Electric potential is measured in volts, with one volt representing a potential of one joule per coulomb of charge. The name of the unit honors the Italian scientist Count Alessandro Volta (1745-1827), the inventor of the first battery.  The volt also may be expressed with a variety of other units. For example, a volt is also equal to one watt per ampere (W/A) and one joule per ampere per second (J/A/s).\)",0
"V2.K-2","V2-PER-K2","Square Volt per Square Kelvin","http://qudt.org/vocab/unit/V2-PER-K2","http://qudt.org/vocab/dimensionvector/A0E-2L4I0M2H-2T-6D0",1,NA,NA,0
"V2-PER-K2","V2-PER-K2","Square Volt per Square Kelvin","http://qudt.org/vocab/unit/V2-PER-K2","http://qudt.org/vocab/dimensionvector/A0E-2L4I0M2H-2T-6D0",1,NA,NA,0
"V_Stat-PER-CentiM","V_Stat-PER-CentiM","Statvolt per Centimeter","http://qudt.org/vocab/unit/V_Stat-PER-CentiM","http://qudt.org/vocab/dimensionvector/A0E-1L1I0M1H0T-3D0",29979.2458,"One statvolt per centimetre is equal in magnitude to one gauss. For example, an electric field of one statvolt/cm has the same energy density as a magnetic field of one gauss. Likewise, a plane wave propagating in a vacuum has perpendicular electric and magnetic fields such that for every gauss of magnetic field intensity there is one statvolt/cm of electric field intensity.
The abvolt is another option for a unit of voltage in the cgs system.",NA,0
"V_Stat-CentiM","V_Stat-CentiM","V_Stat-CentiM","http://qudt.org/vocab/unit/V_Stat-CentiM","http://qudt.org/vocab/dimensionvector/A0E-1L3I0M1H0T-3D0",NA,NA,NA,0
