"unit","qudtUnit","qudtLabel","qudtUri","qudtDimensionVector","qudtConversionMultiplier","nonLatexDescription","latexDescription","TotalUses"
"MOL-PER-MIN","MOL-PER-MIN","Mole Per Minute","http://qudt.org/vocab/unit/MOL-PER-MIN","http://qudt.org/vocab/dimensionvector/A1E0L0I0M0H0T-1D0",0.016666667,NA,NA,0
"MOL-PER-M3-SEC","MOL-PER-M3-SEC","Moles per cubic metre per second","http://qudt.org/vocab/unit/MOL-PER-M3-SEC","http://qudt.org/vocab/dimensionvector/A1E0L-3I0M0H0T-1D0",1,NA,NA,0
"MOL-PER-M3","MOL-PER-M3","Mole per Cubic Meter","http://qudt.org/vocab/unit/MOL-PER-M3","http://qudt.org/vocab/dimensionvector/A1E0L-3I0M0H0T0D0",1,"The SI derived unit for amount-of-substance concentration is the mole/cubic meter.",NA,0
"MOL-PER-M2-SEC-SR","MOL-PER-M2-SEC-SR","Moles per square metre per second per steradian","http://qudt.org/vocab/unit/MOL-PER-M2-SEC-SR","http://qudt.org/vocab/dimensionvector/A1E0L-2I0M0H0T-1D0",1,NA,NA,0
"MOL-PER-M2-SEC-M-SR","MOL-PER-M2-SEC-M-SR","Moles per square metre per second per metre per steradian","http://qudt.org/vocab/unit/MOL-PER-M2-SEC-M-SR","http://qudt.org/vocab/dimensionvector/A1E0L-3I0M0H0T-1D0",1,NA,NA,0
"MOL-PER-M2-SEC-M","MOL-PER-M2-SEC-M","Moles per square metre per second per metre","http://qudt.org/vocab/unit/MOL-PER-M2-SEC-M","http://qudt.org/vocab/dimensionvector/A1E0L-3I0M0H0T-1D0",1,NA,NA,0
"MOL-PER-M2-SEC","MOL-PER-M2-SEC","Moles per square metre per second","http://qudt.org/vocab/unit/MOL-PER-M2-SEC","http://qudt.org/vocab/dimensionvector/A1E0L-2I0M0H0T-1D0",1,NA,NA,0
"MOL-PER-M2-DAY","MOL-PER-M2-DAY","Moles per square metre per day","http://qudt.org/vocab/unit/MOL-PER-M2-DAY","http://qudt.org/vocab/dimensionvector/A1E0L-2I0M0H0T-1D0",1.157407407407e-05,NA,NA,0
"MOL-PER-M2","MOL-PER-M2","Moles per square metre","http://qudt.org/vocab/unit/MOL-PER-M2","http://qudt.org/vocab/dimensionvector/A1E0L-2I0M0H0T0D0",1,NA,NA,0
"MOL-PER-L","MOL-PER-L","Mole Per Liter","http://qudt.org/vocab/unit/MOL-PER-L","http://qudt.org/vocab/dimensionvector/A1E0L-3I0M0H0T0D0",1000,NA,NA,0
"MOL-PER-KiloGM-PA","MOL-PER-KiloGM-PA","Mole per Kilogram Pascal","http://qudt.org/vocab/unit/MOL-PER-KiloGM-PA","http://qudt.org/vocab/dimensionvector/A1E0L1I0M-2H0T2D0",1,NA,"Mole Per Kilogram Pascal (\(mol/kg-pa\)) is a unit of Molar Mass variation due to Pressure.",0
"MOL-PER-KiloGM","MOL-PER-KiloGM","Mol per Kilogram","http://qudt.org/vocab/unit/MOL-PER-KiloGM","http://qudt.org/vocab/dimensionvector/A1E0L0I0M-1H0T0D0",1,NA,"Mole Per Kilogram (\(mol/kg\)) is a unit of Molality",0
"MOL-PER-HR","MOL-PER-HR","Mole Per Hour","http://qudt.org/vocab/unit/MOL-PER-HR","http://qudt.org/vocab/dimensionvector/A1E0L0I0M0H0T-1D0",0.000277778,NA,NA,0
"MOL-PER-GM-HR","MOL-PER-GM-HR","Moles per gram per hour","http://qudt.org/vocab/unit/MOL-PER-GM-HR","http://qudt.org/vocab/dimensionvector/A1E0L0I0M-1H0T-1D0",0.277777777777778,NA,NA,0
"MOL-PER-DeciM3","MOL-PER-DeciM3","Mole Per Cubic Decimeter","http://qudt.org/vocab/unit/MOL-PER-DeciM3","http://qudt.org/vocab/dimensionvector/A1E0L-3I0M0H0T0D0",1000,NA,NA,0
"MOL-K","MOL-K","Mole Kelvin","http://qudt.org/vocab/unit/MOL-K","http://qudt.org/vocab/dimensionvector/A1E0L0I0M0H1T0D0",1,NA,"<p><strong>Mole Kelvin</strong> is a unit for \textit{'Temperature Amount Of Substance'} expressed as \(mol-K\)</p>.",0
"MOL-DEG_C","MOL-DEG_C","Mole Degree Celsius","http://qudt.org/vocab/unit/MOL-DEG_C","http://qudt.org/vocab/dimensionvector/A1E0L0I0M0H1T0D0",NA,NA,"\(\textbf{Mole Degree Celsius} is a C.G.S System unit for 'Temperature Amount Of Substance' expressed as \(mol-degC\).",0
